Car_id,Brand,Model,Year,Price,Km_driven,Fuel_type,Transmission,Owner_type,Mileage_kmpl,Engine_cc,Seats,City,Listing_date,Car_age
58,Toyota,Glanza,2013,1777997.0,125269,Diesel,Manual,First Owner,19.7,2000,7,Kolkata,2019-09-29,13
59,Mahindra,XUV300,2021,1210438.0,32700,Petrol,Manual,First Owner,13.5,1200,7,Hyderabad,2024-05-16,5
60,Maruti,Swift,2005,719529.0,94675,Diesel,Automatic,Third Owner,26.1,1000,5,Hyderabad,2022-04-22,21
61,Mahindra,XUV300,2012,1401557.0,176141,Electric,Automatic,Third Owner,15.8,1200,5,Mumbai,2023-03-21,14
62,Mahindra,XUV300,2016,2404674.0,157904,Petrol,Automatic,First Owner,12.6,800,4,Chennai,2023-09-23,10
63,Maruti,WagonR,2015,1843456.0,123023,Cng,Manual,Third Owner,26.3,1000,5,Bangalore,2021-04-20,11
64,Maruti,Swift,2006,2169380.0,174968,Petrol,Automatic,First Owner,24.6,1500,7,Mumbai,2020-08-14,20
65,Mahindra,Scorpio,2012,1997523.0,25843,Petrol,Automatic,First Owner,29.0,1500,5,Bangalore,2022-07-23,14
66,Honda,Civic,2007,2334949.0,148278,Diesel,Automatic,Third Owner,10.8,1000,5,Bangalore,2020-04-22,19
67,Mahindra,XUV300,2020,1079555.0,131624,Cng,Automatic,Second Owner,13.6,2000,4,Delhi,2019-04-16,6
68,Tata,Tiago,2013,1267419.0,197133,Petrol,Manual,Second Owner,18.2,1800,7,Chennai,2022-07-11,13
69,Toyota,Glanza,2024,755138.0,149256,Electric,Automatic,Second Owner,15.3,1500,5,Kolkata,2024-02-06,2
70,Toyota,Innova,2011,1876853.0,97427,Cng,Automatic,First Owner,14.7,1000,7,Delhi,2019-03-04,15
71,Tata,Altroz,2014,970645.0,125735,Petrol,Manual,Third Owner,11.4,1800,5,Delhi,2019-03-19,12
72,Mahindra,Bolero,2022,1924607.0,85487,Petrol,Manual,First Owner,18.7,1200,4,Delhi,2019-12-03,4
73,Maruti,Swift,2016,1923406.0,106311,Petrol,Manual,First Owner,29.3,1800,5,Bangalore,2020-11-27,10
74,Mahindra,Scorpio,2021,902207.0,17004,Electric,Manual,First Owner,25.3,1000,5,Hyderabad,2024-06-09,5
75,Honda,City,2022,1846498.0,160326,Diesel,Automatic,First Owner,28.2,1500,5,Kolkata,2024-05-31,4
76,Hyundai,Verna,2021,634241.0,48690,Electric,Manual,Third Owner,10.6,1500,7,Delhi,2021-03-24,5
77,Tata,Tiago,2008,1987236.0,194604,Diesel,Manual,Second Owner,22.1,2000,5,Kolkata,2020-01-02,18
78,Mahindra,Scorpio,2009,2469593.0,68557,Diesel,Manual,Third Owner,15.4,1800,7,Delhi,2019-04-11,17
79,Honda,Civic,2012,1267419.0,5988,Cng,Automatic,Third Owner,13.0,1200,4,Delhi,2023-02-22,14
80,Maruti,Baleno,2024,222898.0,181485,Electric,Automatic,Third Owner,18.9,1200,4,Mumbai,2023-05-18,2
81,Honda,Amaze,2017,386627.0,115833,Electric,Manual,Second Owner,25.4,1200,4,Pune,2021-11-26,9
82,Hyundai,i10,2024,2131831.0,14110,Electric,Manual,Second Owner,12.6,1500,5,Bangalore,2020-08-26,2
83,Mahindra,Bolero,2018,1277201.0,63705,Electric,Automatic,Third Owner,27.5,1200,4,Mumbai,2020-09-28,8
84,Toyota,Innova,2024,513608.0,7407,Diesel,Automatic,Second Owner,26.5,1200,4,Chennai,2020-07-09,2
85,Tata,Altroz,2021,2434617.0,15289,Electric,Manual,First Owner,22.5,1200,7,Mumbai,2020-12-21,5
86,Mahindra,XUV300,2014,963843.0,89594,Cng,Manual,First Owner,11.2,2000,5,Pune,2019-08-09,12
87,Tata,Nexon,2016,1598556.0,21277,Petrol,Manual,Second Owner,29.3,1200,7,Bangalore,2021-02-23,10
88,Honda,Amaze,2013,1863651.0,136993,Cng,Automatic,First Owner,24.1,1000,7,Delhi,2021-09-23,13
89,Toyota,Glanza,2011,112923.0,47042,Petrol,Automatic,Third Owner,29.6,1000,4,Chennai,2022-12-05,15
90,Honda,Civic,2022,1429847.0,105892,Electric,Manual,Second Owner,20.4,2000,4,Mumbai,2022-06-12,4
91,Tata,Altroz,2017,1649291.0,99618,Diesel,Manual,Second Owner,20.9,1000,5,Pune,2022-04-19,9
92,Mahindra,XUV300,2021,1724475.0,178094,Diesel,Manual,First Owner,26.8,2000,5,Hyderabad,2021-11-13,5
93,Honda,Amaze,2018,770365.0,101726,Diesel,Manual,Second Owner,28.2,2000,4,Bangalore,2020-06-16,8
94,Tata,Nexon,2016,932035.0,124528,Electric,Manual,Third Owner,19.1,1200,7,Kolkata,2020-08-13,10
95,Tata,Tiago,2006,521610.0,87701,Diesel,Automatic,Second Owner,17.2,800,4,Mumbai,2020-02-15,20
96,Toyota,Glanza,2007,90258.0,182952,Diesel,Automatic,Second Owner,22.6,1800,4,Delhi,2019-01-31,19
97,Honda,City,2009,183086.0,62739,Petrol,Automatic,Third Owner,16.2,800,7,Pune,2023-05-07,17
98,Maruti,Alto,2008,1188980.0,32740,Cng,Manual,First Owner,16.9,1000,7,Pune,2021-06-25,18
99,Hyundai,i20,2014,1120211.0,36220,Petrol,Manual,Second Owner,28.1,1500,5,Pune,2023-03-01,12
100,Maruti,Alto,2007,1267419.0,28436,Electric,Manual,Third Owner,23.9,1200,4,Mumbai,2019-03-12,19
101,Tata,Altroz,2009,1878507.0,54714,Cng,Manual,First Owner,26.9,1800,4,Hyderabad,2020-09-09,17
102,Toyota,Glanza,2020,1267419.0,28937,Petrol,Automatic,Second Owner,28.1,1000,4,Delhi,2020-06-11,6
103,Mahindra,Bolero,2023,2478704.0,158564,Petrol,Manual,Third Owner,26.1,1000,5,Delhi,2019-05-03,3
104,Hyundai,Verna,2011,1303017.0,138917,Cng,Manual,Third Owner,17.7,1800,4,Mumbai,2023-02-11,15
105,Honda,Civic,2021,2043224.0,140420,Cng,Manual,Third Owner,28.9,1200,4,Chennai,2023-07-01,5
106,Honda,Amaze,2013,1285308.0,147750,Cng,Manual,Second Owner,16.7,1800,7,Kolkata,2021-12-10,13
107,Honda,Civic,2014,2316531.0,16069,Petrol,Manual,First Owner,17.6,1000,7,Mumbai,2020-01-28,12
108,Mahindra,XUV300,2010,326166.0,167469,Diesel,Manual,Third Owner,27.7,1000,5,Pune,2023-04-10,16
109,Tata,Altroz,2011,1678568.0,120198,Electric,Manual,First Owner,18.7,1000,4,Bangalore,2023-10-28,15
110,Toyota,Glanza,2023,919259.0,175432,Electric,Automatic,Second Owner,28.3,1500,4,Chennai,2019-10-30,3
111,Mahindra,Bolero,2022,1106137.0,71612,Electric,Automatic,First Owner,19.0,1500,4,Kolkata,2021-08-14,4
112,Tata,Tiago,2015,88793.0,172480,Electric,Automatic,Third Owner,18.6,1000,4,Hyderabad,2019-11-10,11
113,Honda,Civic,2023,539387.0,104923,Cng,Manual,Third Owner,16.7,1200,5,Chennai,2022-06-22,3
114,Maruti,Baleno,2008,347150.0,86426,Cng,Manual,First Owner,14.1,1800,7,Delhi,2024-05-12,18
115,Toyota,Glanza,2018,1945480.0,116647,Petrol,Manual,First Owner,10.3,1500,7,Chennai,2019-07-10,8
116,Tata,Nexon,2020,128291.0,45785,Cng,Manual,Third Owner,26.9,1800,5,Kolkata,2023-12-25,6
117,Tata,Altroz,2012,1703631.0,146607,Electric,Manual,Third Owner,13.1,1500,7,Mumbai,2023-02-21,14
118,Tata,Altroz,2021,422807.0,7484,Electric,Automatic,Third Owner,18.7,1200,7,Mumbai,2022-05-19,5
119,Tata,Nexon,2010,745563.0,188769,Diesel,Manual,First Owner,27.3,800,7,Kolkata,2023-05-17,16
120,Mahindra,XUV300,2009,1664810.0,75510,Cng,Automatic,First Owner,26.9,800,5,Delhi,2019-01-20,17
121,Honda,Amaze,2013,473254.0,22919,Diesel,Automatic,First Owner,16.4,1800,7,Bangalore,2022-11-27,13
122,Honda,City,2021,442043.0,177935,Electric,Automatic,First Owner,21.9,1000,4,Pune,2020-07-07,5
123,Mahindra,XUV300,2019,823535.0,194771,Cng,Manual,Second Owner,29.9,1500,4,Hyderabad,2021-10-31,7
124,Honda,City,2009,1747485.0,133694,Diesel,Automatic,First Owner,29.6,1500,7,Mumbai,2024-02-02,17
125,Maruti,Baleno,2023,2003302.0,154795,Cng,Manual,Third Owner,28.1,2000,4,Delhi,2023-02-17,3
126,Tata,Altroz,2013,485609.0,83709,Petrol,Manual,First Owner,28.9,1800,5,Chennai,2020-06-29,13
127,Toyota,Fortuner,2020,1382444.0,95020,Diesel,Manual,Second Owner,12.5,2000,7,Chennai,2022-07-29,6
128,Mahindra,Bolero,2019,2037543.0,157385,Cng,Automatic,First Owner,18.1,1800,4,Bangalore,2022-08-31,7
129,Mahindra,XUV300,2019,1733723.0,18058,Diesel,Automatic,Second Owner,19.5,800,5,Delhi,2021-06-17,7
130,Maruti,Baleno,2023,1494842.0,53121,Petrol,Manual,Third Owner,29.8,1800,5,Chennai,2022-12-13,3
131,Tata,Tiago,2015,406630.0,118386,Electric,Manual,First Owner,11.3,800,7,Mumbai,2021-07-15,11
132,Maruti,Alto,2009,751609.0,105379,Cng,Manual,Second Owner,26.1,1000,5,Hyderabad,2019-06-05,17
133,Tata,Tiago,2009,1016095.0,69655,Diesel,Manual,Second Owner,10.2,800,7,Delhi,2020-06-02,17
134,Honda,Civic,2014,1315557.0,198868,Electric,Automatic,Second Owner,20.0,1000,7,Mumbai,2023-11-12,12
135,Toyota,Glanza,2011,788383.0,129376,Diesel,Manual,Third Owner,21.6,2000,5,Hyderabad,2019-02-24,15
136,Toyota,Fortuner,2008,2050583.0,150330,Electric,Automatic,Third Owner,27.6,1500,4,Delhi,2022-10-21,18
137,Honda,City,2020,469298.0,66526,Electric,Automatic,Third Owner,22.3,1200,5,Chennai,2023-07-28,6
138,Honda,City,2019,2479217.0,24229,Electric,Automatic,Third Owner,19.6,2000,7,Pune,2023-07-18,7
139,Tata,Nexon,2022,1743059.0,25509,Cng,Manual,Second Owner,10.7,800,4,Hyderabad,2024-02-22,4
140,Mahindra,Bolero,2020,1397430.0,122295,Petrol,Manual,Second Owner,10.3,1500,7,Delhi,2021-04-07,6
141,Toyota,Innova,2022,1105887.0,25959,Cng,Manual,Second Owner,26.1,2000,4,Pune,2020-01-11,4
142,Hyundai,Verna,2016,276009.0,115904,Cng,Automatic,Second Owner,26.5,800,5,Bangalore,2021-03-25,10
143,Toyota,Fortuner,2017,2291614.0,144505,Electric,Manual,Third Owner,13.3,1200,5,Pune,2022-07-23,9
144,Maruti,Swift,2023,138598.0,138840,Electric,Automatic,Third Owner,28.0,1500,4,Mumbai,2023-11-28,3
145,Toyota,Fortuner,2015,1925738.0,185157,Petrol,Automatic,Third Owner,26.3,1500,5,Delhi,2021-05-21,11
146,Toyota,Innova,2009,1267419.0,21326,Diesel,Manual,Third Owner,25.9,1500,4,Bangalore,2020-01-07,17
147,Honda,Amaze,2015,175971.0,34329,Diesel,Automatic,Second Owner,23.6,1500,5,Pune,2020-11-07,11
148,Mahindra,Bolero,2011,2352811.0,33031,Petrol,Manual,First Owner,27.7,1200,7,Chennai,2022-01-29,15
149,Honda,Amaze,2017,514895.0,161670,Electric,Manual,First Owner,10.8,1200,4,Bangalore,2022-03-25,9
150,Toyota,Glanza,2018,1137710.0,38043,Cng,Manual,Third Owner,29.9,2000,4,Kolkata,2023-12-12,8
151,Toyota,Glanza,2022,2462181.0,149830,Petrol,Automatic,Third Owner,29.6,800,7,Bangalore,2023-07-27,4
152,Tata,Tiago,2018,961050.0,162319,Electric,Automatic,First Owner,26.7,800,7,Pune,2023-07-27,8
153,Tata,Altroz,2017,2392001.0,16387,Petrol,Automatic,First Owner,10.6,800,5,Hyderabad,2022-02-28,9
154,Tata,Nexon,2018,1903034.0,187909,Electric,Manual,Third Owner,15.5,2000,4,Hyderabad,2023-11-22,8
155,Toyota,Innova,2017,448583.0,33299,Petrol,Manual,Second Owner,19.7,1800,5,Chennai,2020-04-27,9
156,Hyundai,i20,2009,478673.0,132217,Electric,Automatic,Second Owner,16.3,1000,7,Delhi,2021-10-08,17
157,Tata,Nexon,2014,1504772.0,39532,Petrol,Manual,First Owner,21.7,800,5,Bangalore,2020-12-20,12
158,Maruti,Alto,2018,963764.0,8874,Electric,Automatic,Second Owner,26.1,1800,5,Pune,2022-11-18,8
159,Maruti,Swift,2009,1978226.0,66484,Cng,Manual,Second Owner,27.0,1500,7,Hyderabad,2021-03-27,17
160,Hyundai,i20,2021,180080.0,117688,Petrol,Automatic,First Owner,14.1,800,5,Chennai,2023-06-16,5
161,Maruti,Alto,2016,2345609.0,197515,Diesel,Automatic,Second Owner,26.6,800,5,Mumbai,2023-08-09,10
162,Honda,Amaze,2010,2076274.0,196511,Cng,Automatic,Second Owner,17.5,1500,4,Kolkata,2023-06-14,16
163,Tata,Tiago,2009,1338851.0,76485,Electric,Manual,Third Owner,25.0,1000,5,Pune,2024-03-24,17
164,Tata,Nexon,2019,1278997.0,132172,Electric,Automatic,Third Owner,18.0,1200,5,Chennai,2022-03-07,7
165,Mahindra,Scorpio,2006,1167722.0,14243,Electric,Automatic,Third Owner,10.9,1200,7,Pune,2022-11-25,20
166,Hyundai,i20,2008,830003.0,140350,Electric,Manual,Second Owner,21.6,1800,5,Bangalore,2023-11-03,18
167,Tata,Tiago,2023,1189047.0,131852,Diesel,Manual,Third Owner,27.6,1800,7,Chennai,2020-11-03,3
168,Hyundai,i20,2009,167431.0,167744,Petrol,Automatic,Third Owner,20.6,800,4,Mumbai,2023-09-24,17
169,Honda,Civic,2023,747750.0,9289,Diesel,Manual,First Owner,15.6,1200,5,Mumbai,2020-07-31,3
170,Tata,Nexon,2014,823155.0,61774,Cng,Automatic,Third Owner,17.2,1800,5,Mumbai,2023-05-09,12
171,Hyundai,i20,2005,717293.0,183459,Diesel,Manual,First Owner,19.3,1800,4,Delhi,2022-02-24,21
172,Tata,Altroz,2016,2345390.0,193042,Petrol,Automatic,Second Owner,19.6,1200,4,Mumbai,2021-05-31,10
173,Tata,Altroz,2022,2282336.0,108697,Petrol,Automatic,Third Owner,21.8,1800,5,Mumbai,2019-12-31,4
174,Toyota,Fortuner,2024,87221.0,95398,Cng,Automatic,Third Owner,23.7,1200,5,Pune,2019-04-26,2
175,Maruti,Alto,2007,1108050.0,104110,Electric,Automatic,Third Owner,16.3,1500,7,Delhi,2020-11-11,19
176,Tata,Nexon,2023,2116886.0,114554,Electric,Manual,Third Owner,19.0,1800,5,Delhi,2019-04-02,3
177,Hyundai,i10,2024,164222.0,80821,Cng,Automatic,Third Owner,10.2,1000,4,Delhi,2023-01-03,2
178,Toyota,Glanza,2020,1843917.0,148818,Cng,Manual,First Owner,26.3,1200,7,Chennai,2021-09-15,6
179,Toyota,Glanza,2015,1778504.0,134439,Electric,Automatic,Third Owner,22.2,1800,4,Bangalore,2023-12-10,11
180,Honda,Civic,2020,437535.0,178676,Cng,Automatic,Second Owner,22.9,1500,7,Delhi,2019-03-02,6
181,Hyundai,Creta,2008,2159108.0,198991,Petrol,Manual,First Owner,10.4,1800,4,Chennai,2022-09-30,18
182,Maruti,WagonR,2005,1590499.0,124174,Cng,Automatic,Second Owner,20.5,1200,4,Pune,2019-03-10,21
183,Maruti,WagonR,2023,1784084.0,25440,Petrol,Automatic,Third Owner,24.7,800,7,Kolkata,2023-12-14,3
184,Honda,City,2021,1253561.0,144805,Electric,Automatic,First Owner,18.6,1800,5,Pune,2023-05-15,5
185,Maruti,WagonR,2022,338434.0,173460,Petrol,Automatic,First Owner,18.9,1800,4,Pune,2021-07-05,4
186,Mahindra,Bolero,2012,1963013.0,75100,Electric,Manual,First Owner,18.6,1800,4,Kolkata,2019-07-13,14
187,Honda,Civic,2010,2303195.0,133092,Petrol,Manual,Second Owner,18.5,1500,7,Kolkata,2019-04-25,16
188,Honda,City,2010,112753.0,118285,Cng,Manual,First Owner,18.0,1000,4,Delhi,2023-12-04,16
189,Hyundai,i10,2014,532569.0,18360,Petrol,Automatic,First Owner,11.9,1500,5,Hyderabad,2022-11-17,12
190,Tata,Nexon,2024,1245334.0,67161,Diesel,Automatic,Third Owner,22.8,1200,7,Bangalore,2019-08-12,2
191,Honda,Amaze,2007,324416.0,112356,Diesel,Automatic,Third Owner,19.2,1200,4,Chennai,2022-05-15,19
192,Maruti,Swift,2012,1824098.0,25859,Electric,Manual,Third Owner,27.5,1800,5,Kolkata,2021-01-01,14
193,Hyundai,i20,2017,521782.0,107420,Cng,Automatic,Third Owner,22.1,1000,5,Chennai,2021-01-27,9
194,Hyundai,Creta,2015,1559853.0,197599,Petrol,Automatic,Third Owner,10.6,1200,5,Pune,2019-04-01,11
195,Toyota,Glanza,2018,354158.0,91199,Diesel,Automatic,First Owner,18.9,1000,5,Bangalore,2021-02-06,8
196,Maruti,Alto,2011,115863.0,142293,Electric,Automatic,First Owner,25.6,1800,5,Pune,2019-06-02,15
197,Mahindra,Bolero,2023,81329.0,38911,Cng,Automatic,Second Owner,25.1,1500,7,Kolkata,2019-08-11,3
198,Honda,Civic,2020,900858.0,128109,Diesel,Manual,Third Owner,11.1,1800,7,Mumbai,2021-11-24,6
199,Honda,Amaze,2010,1898693.0,110031,Electric,Manual,Second Owner,22.8,800,5,Delhi,2020-10-12,16
200,Hyundai,Creta,2019,1074232.0,109379,Petrol,Automatic,Third Owner,28.4,2000,5,Kolkata,2023-09-14,7
201,Tata,Tiago,2022,311538.0,144522,Electric,Automatic,First Owner,23.1,1200,7,Pune,2022-04-25,4
202,Hyundai,i20,2020,2225842.0,124511,Cng,Automatic,Second Owner,18.2,1800,4,Delhi,2019-01-18,6
203,Toyota,Glanza,2015,973899.0,113290,Cng,Automatic,Second Owner,19.1,1200,7,Chennai,2019-09-25,11
204,Honda,City,2022,1153975.0,8538,Petrol,Automatic,First Owner,15.8,2000,4,Kolkata,2021-11-12,4
205,Honda,Civic,2018,377835.0,25490,Cng,Manual,Third Owner,25.4,1000,5,Bangalore,2023-09-28,8
206,Maruti,Alto,2007,1951518.0,24871,Electric,Automatic,First Owner,26.9,1800,4,Kolkata,2020-10-20,19
207,Toyota,Fortuner,2022,1267419.0,175784,Cng,Manual,First Owner,13.4,1800,5,Kolkata,2020-08-23,4
208,Toyota,Glanza,2014,2058833.0,148850,Petrol,Automatic,Third Owner,14.5,1500,4,Hyderabad,2022-07-11,12
209,Mahindra,Bolero,2013,1593374.0,20601,Petrol,Manual,Second Owner,18.8,1800,4,Kolkata,2022-08-27,13
210,Mahindra,Scorpio,2014,445318.0,111234,Electric,Manual,Third Owner,28.6,2000,7,Pune,2019-06-16,12
211,Tata,Tiago,2016,2261211.0,185704,Electric,Automatic,Second Owner,16.5,1200,4,Chennai,2023-07-12,10
212,Honda,Amaze,2016,595237.0,42426,Cng,Manual,Third Owner,15.0,2000,7,Kolkata,2024-01-06,10
213,Mahindra,Scorpio,2015,2415653.0,39644,Cng,Automatic,Third Owner,24.9,1800,5,Hyderabad,2022-06-22,11
214,Hyundai,Verna,2021,844592.0,181071,Diesel,Automatic,Second Owner,27.6,1800,7,Pune,2022-10-08,5
215,Toyota,Innova,2010,231938.0,152014,Cng,Manual,Third Owner,24.1,1200,7,Hyderabad,2021-04-10,16
216,Honda,Civic,2006,1267419.0,120800,Electric,Manual,First Owner,26.7,1000,5,Hyderabad,2019-10-30,20
217,Hyundai,Creta,2024,1704209.0,25557,Electric,Automatic,First Owner,26.8,1000,7,Bangalore,2023-02-09,2
218,Hyundai,Verna,2017,1146150.0,76663,Diesel,Manual,Third Owner,29.4,1500,4,Bangalore,2021-06-20,9
219,Tata,Nexon,2019,629744.0,6926,Electric,Automatic,Second Owner,29.7,800,5,Delhi,2019-03-10,7
220,Mahindra,Bolero,2018,2048521.0,91971,Petrol,Automatic,Second Owner,10.3,800,5,Pune,2024-06-10,8
221,Hyundai,Verna,2012,2206756.0,179510,Cng,Manual,Third Owner,13.3,1200,5,Hyderabad,2019-04-22,14
222,Toyota,Innova,2022,422040.0,49511,Cng,Automatic,First Owner,17.9,1500,4,Mumbai,2021-12-23,4
223,Maruti,Swift,2009,2134623.0,23716,Cng,Manual,Second Owner,13.0,1200,4,Pune,2020-05-16,17
224,Hyundai,i10,2017,2472203.0,41911,Diesel,Manual,First Owner,11.5,1200,5,Pune,2020-08-03,9
225,Maruti,Baleno,2007,170729.0,30022,Petrol,Manual,Third Owner,24.3,1800,4,Bangalore,2020-11-01,19
226,Tata,Tiago,2012,1572713.0,106566,Diesel,Automatic,Second Owner,30.0,1500,4,Chennai,2022-03-25,14
